image_name,mask_name,original_multiclass_label,true_binary_label,predicted_binary_label,probability_non_malignant,probability_malignant,correct
1269.JPG,1269_mask.png,5,0,0,0.9573399424552917,0.04266004264354706,1
1458.JPG,1458_mask.png,7,1,0,0.9689870476722717,0.031012997031211853,0
700.JPG,700_mask.png,6,0,0,0.9968587160110474,0.0031412290409207344,1
264.JPG,264_mask.png,2,0,0,0.9956091046333313,0.004390860442072153,1
1017.JPG,1017_mask.png,2,0,0,0.9009780287742615,0.09902199357748032,1
991.JPG,991_mask.png,2,0,0,0.9900245666503906,0.009975448250770569,1
1337.JPG,1337_mask.png,2,0,0,0.9933668971061707,0.006633089855313301,1
359.JPG,359_mask.png,3,0,0,0.9736338257789612,0.026366185396909714,1
1083.JPG,1083_mask.png,2,0,0,0.9893181920051575,0.010681839659810066,1
1071.JPG,1071_mask.png,2,0,0,0.9931244254112244,0.006875649560242891,1
271.JPG,271_mask.png,5,0,0,0.9188708066940308,0.08112916350364685,1
448.JPG,448_mask.png,0,0,0,0.9756913781166077,0.02430865541100502,1
1270.JPG,1270_mask.png,1,0,0,0.9890645742416382,0.010935382917523384,1
747.JPG,747_mask.png,2,0,0,0.9956948757171631,0.004305099602788687,1
1229.JPG,1229_mask.png,1,0,0,0.9954571723937988,0.0045427898876369,1
553.JPG,553_mask.png,2,0,0,0.9342585206031799,0.06574146449565887,1
580.JPG,580_mask.png,0,0,0,0.9719536304473877,0.02804640494287014,1
1218.JPG,1218_mask.png,4,0,0,0.9936741590499878,0.006325860973447561,1
391.JPG,391_mask.png,0,0,0,0.981619119644165,0.01838085614144802,1
582.JPG,582_mask.png,0,0,0,0.9787412285804749,0.021258726716041565,1
84.JPG,84_mask.png,0,0,0,0.9949910044670105,0.005009024869650602,1
1440.JPG,1440_mask.png,7,1,1,0.36352330446243286,0.6364766955375671,1
89.JPG,89_mask.png,1,0,0,0.9953201413154602,0.0046798898838460445,1
1454.JPG,1454_mask.png,7,1,0,0.9369956254959106,0.06300432980060577,0
494.JPG,494_mask.png,6,0,0,0.9525662660598755,0.047433700412511826,1
847.JPG,847_mask.png,2,0,0,0.996539831161499,0.0034601467195898294,1
1277.JPG,1277_mask.png,5,0,0,0.9109811782836914,0.08901885151863098,1
267.JPG,267_mask.png,2,0,0,0.9634130597114563,0.03658699244260788,1
1411.JPG,1411_mask.png,0,0,0,0.9977376461029053,0.002262299880385399,1
693.JPG,693_mask.png,6,0,0,0.9907750487327576,0.009224898181855679,1
1329.JPG,1329_mask.png,0,0,0,0.9909867644309998,0.009013206698000431,1
258.JPG,258_mask.png,5,0,0,0.9344820380210876,0.06551793217658997,1
1323.JPG,1323_mask.png,5,0,0,0.9818432927131653,0.018156668171286583,1
1188.JPG,1188_mask.png,0,0,0,0.9927228093147278,0.0072771767154335976,1
1013.JPG,1013_mask.png,4,0,0,0.9858652353286743,0.01413480844348669,1
862.JPG,862_mask.png,0,0,0,0.9444239735603333,0.055576056241989136,1
1079.JPG,1079_mask.png,5,0,0,0.8741472363471985,0.1258527934551239,1
1352.JPG,1352_mask.png,1,0,0,0.9847220778465271,0.015277950093150139,1
778.JPG,778_mask.png,0,0,0,0.9372926354408264,0.0627073347568512,1
948.JPG,948_mask.png,2,0,0,0.8773680329322815,0.1226319968700409,1
245.JPG,245_mask.png,5,0,0,0.9500088691711426,0.04999107867479324,1
536.JPG,536_mask.png,2,0,0,0.9907703399658203,0.009229615330696106,1
1208.JPG,1208_mask.png,0,0,0,0.9967837333679199,0.00321625336073339,1
535.JPG,535_mask.png,2,0,0,0.9940482378005981,0.0059517803601920605,1
331.JPG,331_mask.png,0,0,0,0.9949538111686707,0.005046163685619831,1
48.JPG,48_mask.png,2,0,0,0.9955633878707886,0.00443663727492094,1
784.JPG,784_mask.png,4,0,0,0.9854051470756531,0.014594849199056625,1
1032.JPG,1032_mask.png,0,0,0,0.9916918277740479,0.008308140560984612,1
592.JPG,592_mask.png,5,0,0,0.96820068359375,0.03179935738444328,1
361.JPG,361_mask.png,3,0,0,0.9708550572395325,0.029144935309886932,1
388.JPG,388_mask.png,0,0,0,0.9820336699485779,0.01796632818877697,1
27.JPG,27_mask.png,0,0,0,0.9864069819450378,0.01359301432967186,1
1130.JPG,1130_mask.png,4,0,0,0.9679789543151855,0.032021068036556244,1
430.JPG,430_mask.png,3,0,1,0.42000868916511536,0.5799912810325623,0
16.JPG,16_mask.png,0,0,0,0.9932113885879517,0.006788536440581083,1
70.JPG,70_mask.png,2,0,0,0.897291898727417,0.10270810127258301,1
741.JPG,741_mask.png,2,0,0,0.990549623966217,0.009450453333556652,1
690.JPG,690_mask.png,5,0,0,0.9569897055625916,0.04301036149263382,1
1466.JPG,1466_mask.png,7,1,1,0.07575647532939911,0.9242435097694397,1
442.JPG,442_mask.png,5,0,0,0.9891549944877625,0.010844964534044266,1
1384.JPG,1384_mask.png,5,0,0,0.9765253663063049,0.023474646732211113,1
548.JPG,548_mask.png,1,0,0,0.993981659412384,0.006018342915922403,1
1162.JPG,1162_mask.png,0,0,0,0.9921860694885254,0.007813933305442333,1
1023.JPG,1023_mask.png,0,0,0,0.9947789907455444,0.0052209896966814995,1
1111.JPG,1111_mask.png,5,0,0,0.9732738137245178,0.02672615833580494,1
191.JPG,191_mask.png,0,0,0,0.987527072429657,0.012472967617213726,1
1055.JPG,1055_mask.png,3,0,0,0.9891190528869629,0.010880963876843452,1
88.JPG,88_mask.png,5,0,0,0.9431846737861633,0.05681533366441727,1
296.JPG,296_mask.png,1,0,0,0.9898391962051392,0.01016084011644125,1
842.JPG,842_mask.png,0,0,0,0.9949681162834167,0.005031876731663942,1
253.JPG,253_mask.png,1,0,0,0.9865836501121521,0.013416314497590065,1
385.JPG,385_mask.png,1,0,0,0.9887895584106445,0.011210438795387745,1
973.JPG,973_mask.png,0,0,0,0.9737078547477722,0.026292193681001663,1
452.JPG,452_mask.png,6,0,0,0.9961375594139099,0.0038623728323727846,1
1366.JPG,1366_mask.png,0,0,0,0.9903020262718201,0.009697994217276573,1
1085.JPG,1085_mask.png,5,0,0,0.9664927124977112,0.03350721299648285,1
896.JPG,896_mask.png,6,0,0,0.9953542947769165,0.004645676352083683,1
472.JPG,472_mask.png,1,0,0,0.9940364360809326,0.005963567178696394,1
493.JPG,493_mask.png,6,0,0,0.9040236473083496,0.09597635269165039,1
234.JPG,234_mask.png,2,0,0,0.9351822137832642,0.06481776386499405,1
679.JPG,679_mask.png,0,0,0,0.7925951480865479,0.20740489661693573,1
699.JPG,699_mask.png,6,0,0,0.9916359186172485,0.008364140056073666,1
501.JPG,501_mask.png,4,0,0,0.9815537929534912,0.01844620890915394,1
436.JPG,436_mask.png,2,0,0,0.9802937507629395,0.019706228747963905,1
249.JPG,249_mask.png,1,0,0,0.9930368065834045,0.006963238585740328,1
621.JPG,621_mask.png,5,0,0,0.9672445058822632,0.03275549039244652,1
322.JPG,322_mask.png,1,0,0,0.9959993362426758,0.004000660497695208,1
186.JPG,186_mask.png,5,0,0,0.970219612121582,0.029780440032482147,1
653.JPG,653_mask.png,2,0,0,0.9960299134254456,0.003970063291490078,1
129.JPG,129_mask.png,5,0,0,0.9149099588394165,0.08509000390768051,1
