epoch,train_loss,train_accuracy,train_balanced_accuracy,train_malignant_f1,val_loss,val_accuracy,val_balanced_accuracy,val_malignant_precision,val_sensitivity,val_specificity,val_malignant_f1,learning_rate,epoch_time_seconds
1,0.6989287663233676,0.959,0.4984407484407484,0.0,0.5909995785900864,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,0.0001,15.578852891921997
2,0.5254102601677643,0.961,0.4994802494802495,0.0,0.5219741123013425,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,0.0001,15.208209037780762
3,0.5261484496973355,0.963,0.5257960389539337,0.0975609756097561,0.6272506527701427,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,0.0001,15.226547002792358
4,1.1097044393306432,0.961,0.4994802494802495,0.0,0.3618115264097777,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,2.5e-05,41.6076180934906
5,0.8347796951683828,0.963,0.5131578947368421,0.05128205128205128,1.0225554268100003,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,2.5e-05,41.33614182472229
6,0.7837144868733253,0.961,0.5121183936973411,0.04878048780487805,0.5558320702936327,0.9722814498933902,0.5666666666666667,1.0,0.13333333333333333,1.0,0.23529411764705882,2.5e-05,41.52218198776245
7,0.6944770072274111,0.967,0.5910657621183937,0.2978723404255319,0.8126540684634111,0.9701492537313433,0.5333333333333333,1.0,0.06666666666666667,1.0,0.125,2.5e-05,41.52294397354126
8,0.5398811341800894,0.967,0.5784276179013021,0.26666666666666666,0.40179376010354234,0.9701492537313433,0.6622613803230544,0.5555555555555556,0.3333333333333333,0.9911894273127754,0.4166666666666667,2.5e-05,41.58091497421265
9,0.44202367223686606,0.968,0.6547762337236022,0.42857142857142855,1.0538318075565494,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,2.5e-05,41.6962890625
10,0.494068965859678,0.971,0.6436973410657622,0.43137254901960786,0.49584419040153355,0.9744136460554371,0.6322320117474303,0.8,0.26666666666666666,0.9977973568281938,0.4,2.5e-05,41.62263107299805
11,0.4648354230454551,0.977,0.7352828537039063,0.6101694915254238,0.4597884623410149,0.9658848614072495,0.6278267254038179,0.4444444444444444,0.26666666666666666,0.9889867841409692,0.3333333333333333,2.5e-05,41.630704164505005
12,0.3063010957352012,0.977,0.747920997920998,0.6229508196721312,0.660243711952195,0.9744136460554371,0.728928046989721,0.6363636363636364,0.4666666666666667,0.9911894273127754,0.5384615384615384,2.5e-05,41.55632400512695
13,0.34923472709171166,0.983,0.8015920779078674,0.7301587301587301,1.428265008759932,0.9722814498933902,0.5666666666666667,1.0,0.13333333333333333,1.0,0.23529411764705882,2.5e-05,41.62328219413757
14,0.34727144659927545,0.982,0.8263486158223001,0.7352941176470589,0.6396411744131542,0.976545842217484,0.6977973568281939,0.75,0.4,0.9955947136563876,0.5217391304347826,2.5e-05,41.8019700050354
15,0.22209333254516767,0.984,0.8400262610788927,0.7647058823529411,0.7801580707156238,0.976545842217484,0.6333333333333333,1.0,0.26666666666666666,1.0,0.42105263157894735,2.5e-05,41.73964190483093
16,0.16637633152133002,0.987,0.879499945289419,0.8169014084507042,0.6146397469597037,0.9744136460554371,0.6966960352422907,0.6666666666666666,0.4,0.9933920704845814,0.5,1.25e-05,41.59180283546448
17,0.09960173576344432,0.99,0.9063354852828537,0.8611111111111112,0.5191797698076235,0.9658848614072495,0.7567547723935388,0.47058823529411764,0.5333333333333333,0.9801762114537445,0.5,1.25e-05,41.754132986068726
18,0.07085862294006914,0.994,0.933690775796039,0.9166666666666666,0.6420309176511093,0.9680170575692963,0.7256240822320117,0.5,0.4666666666666667,0.9845814977973568,0.4827586206896552,1.25e-05,41.571927070617676
19,0.04410087247294941,0.996,0.9600065652697232,0.9459459459459459,0.508785910267107,0.9637526652452025,0.7234214390602056,0.4375,0.4666666666666667,0.9801762114537445,0.45161290322580644,1.25e-05,41.608274936676025
20,0.02756563805140477,0.997,0.9731644600065652,0.96,0.8785256036933186,0.9658848614072495,0.6922907488986785,0.46153846153846156,0.4,0.9845814977973568,0.42857142857142855,6.25e-06,41.63933515548706
21,0.01393387729313486,0.998,0.9863223547434075,0.9736842105263158,0.97758240864963,0.9680170575692963,0.6933920704845815,0.5,0.4,0.986784140969163,0.4444444444444444,6.25e-06,41.53844714164734
22,0.04298307303072544,0.999,0.986842105263158,0.9866666666666667,0.8933986669442452,0.9658848614072495,0.7245227606461087,0.4666666666666667,0.4666666666666667,0.9823788546255506,0.4666666666666667,6.25e-06,41.36015796661377
23,0.001385371694614535,0.998,0.998960498960499,0.9743589743589743,0.8611537638432422,0.9616204690831557,0.7223201174743026,0.4117647058823529,0.4666666666666667,0.9779735682819384,0.4375,6.25e-06,41.45619201660156
24,0.011501691868172874,0.999,0.986842105263158,0.9866666666666667,1.2201619630139957,0.9722814498933902,0.6955947136563877,0.6,0.4,0.9911894273127754,0.48,3.125e-06,41.48924279212952
