epoch,train_loss,train_accuracy,train_balanced_accuracy,train_malignant_precision,train_malignant_recall,train_malignant_f1,val_loss,val_accuracy,val_balanced_accuracy,val_malignant_precision,val_malignant_recall,val_specificity,val_malignant_f1,learning_rate,epoch_time_seconds
1,0.7254327283239254,0.956,0.5095196410985885,0.125,0.02631578947368421,0.043478260869565216,0.525703958614217,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,0.0001,15.17601728439331
2,0.5801409017885162,0.961,0.4994802494802495,0.0,0.0,0.0,0.43643581553566846,0.9658848614072495,0.4988986784140969,0.0,0.0,0.9977973568281938,0.0,0.0001,14.502297163009644
3,0.4901015403807687,0.96,0.5242367873946822,0.3333333333333333,0.05263157894736842,0.09090909090909091,0.39349796318400426,0.9616204690831557,0.4966960352422907,0.0,0.0,0.9933920704845814,0.0,0.0001,14.411540985107422
4,1.0081449083582732,0.961,0.4994802494802495,0.0,0.0,0.0,0.28344069921802767,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,2.5e-05,36.31771183013916
5,0.7728507801307897,0.962,0.5,0.0,0.0,0.0,0.5409269629907397,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,2.5e-05,36.213255882263184
6,0.7083923924907949,0.964,0.5515920779078674,0.6666666666666666,0.10526315789473684,0.18181818181818182,0.5701524999798404,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,2.5e-05,36.1399610042572
7,0.563169528643245,0.966,0.56526972316446,0.8333333333333334,0.13157894736842105,0.22727272727272727,0.9295707434399167,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,2.5e-05,36.27920699119568
8,0.5289074887553809,0.964,0.564230222124959,0.625,0.13157894736842105,0.21739130434782608,0.6161699215357025,0.9744136460554371,0.6,1.0,0.2,1.0,0.3333333333333333,2.5e-05,36.37456297874451
9,0.4135916669620533,0.971,0.6816117737170369,0.7368421052631579,0.3684210526315789,0.49122807017543857,0.4173025253698422,0.9701492537313433,0.7267254038179148,0.5384615384615384,0.4666666666666667,0.986784140969163,0.5,2.5e-05,36.42754507064819
10,0.3707960420144823,0.982,0.8010723273881168,0.8846153846153846,0.6052631578947368,0.71875,0.6228152274649058,0.9744136460554371,0.6,1.0,0.2,1.0,0.3333333333333333,2.5e-05,36.405948877334595
11,0.35853737444649425,0.981,0.7879144326512748,0.88,0.5789473684210527,0.6984126984126984,0.6386318720755946,0.9658848614072495,0.5955947136563877,0.42857142857142855,0.2,0.9911894273127754,0.2727272727272727,2.5e-05,36.46580910682678
12,0.32954977475082536,0.979,0.748960498960499,0.9047619047619048,0.5,0.6440677966101694,0.7383716047360669,0.9701492537313433,0.7267254038179148,0.5384615384615384,0.4666666666666667,0.986784140969163,0.5,2.5e-05,36.36301398277283
13,0.14025796436253773,0.988,0.8547434073749863,0.9642857142857143,0.7105263157894737,0.8181818181818182,0.9401913864548005,0.9616204690831557,0.657856093979442,0.38461538461538464,0.3333333333333333,0.9823788546255506,0.35714285714285715,1.25e-05,36.389556884765625
14,0.17166788648399484,0.993,0.9078947368421053,1.0,0.8157894736842105,0.8985507246376812,0.7693295807144452,0.9701492537313433,0.7589574155653451,0.5333333333333333,0.5333333333333333,0.9845814977973568,0.5333333333333333,1.25e-05,36.46684408187866
15,0.07806685228931799,0.993,0.9584473137104716,0.8974358974358975,0.9210526315789473,0.9090909090909091,1.0176108856894,0.976545842217484,0.6977973568281939,0.75,0.4,0.9955947136563876,0.5217391304347826,1.25e-05,36.4674711227417
16,0.032816580080534126,0.993,0.9710854579275632,0.8780487804878049,0.9473684210526315,0.9113924050632911,1.1681302865151253,0.9658848614072495,0.5955947136563877,0.42857142857142855,0.2,0.9911894273127754,0.2727272727272727,1.25e-05,36.506848096847534
17,0.05771783744604552,0.993,0.9584473137104716,0.8974358974358975,0.9210526315789473,0.9090909090909091,1.2510129287418692,0.976545842217484,0.6333333333333333,1.0,0.26666666666666666,1.0,0.42105263157894735,1.25e-05,36.66412401199341
18,0.04956175470851458,0.996,0.9726447094868147,0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0907735920809605,0.9658848614072495,0.7245227606461087,0.4666666666666667,0.4666666666666667,0.9823788546255506,0.4666666666666667,6.25e-06,36.72028994560242
19,0.057518646334652486,0.998,0.9736842105263157,1.0,0.9473684210526315,0.972972972972973,1.1140174509025103,0.9744136460554371,0.728928046989721,0.6363636363636364,0.4666666666666667,0.9911894273127754,0.5384615384615384,6.25e-06,36.758845806121826
