image_name,mask_name,original_multiclass_label,true_binary_label,predicted_binary_label,probability_non_malignant,probability_malignant,correct
1269.JPG,1269_mask.png,5,0,0,0.9569563865661621,0.04304365813732147,1
1458.JPG,1458_mask.png,7,1,0,0.9864048957824707,0.01359509862959385,0
700.JPG,700_mask.png,6,0,0,0.9905489087104797,0.009451063349843025,1
264.JPG,264_mask.png,2,0,0,0.9879617094993591,0.01203825231641531,1
1017.JPG,1017_mask.png,2,0,0,0.9655570387840271,0.034442923963069916,1
991.JPG,991_mask.png,2,0,0,0.979486346244812,0.020513709634542465,1
1337.JPG,1337_mask.png,2,0,0,0.9837114214897156,0.016288550570607185,1
359.JPG,359_mask.png,3,0,0,0.9861319065093994,0.013868056237697601,1
1083.JPG,1083_mask.png,2,0,0,0.988851010799408,0.011148964054882526,1
1071.JPG,1071_mask.png,2,0,0,0.9884174466133118,0.01158255897462368,1
271.JPG,271_mask.png,5,0,0,0.9187380075454712,0.08126203715801239,1
448.JPG,448_mask.png,0,0,0,0.9500715136528015,0.04992852732539177,1
1270.JPG,1270_mask.png,1,0,0,0.9871548414230347,0.012845124118030071,1
747.JPG,747_mask.png,2,0,0,0.9892432689666748,0.010756675153970718,1
1229.JPG,1229_mask.png,1,0,0,0.9903954863548279,0.009604492224752903,1
553.JPG,553_mask.png,2,0,0,0.9647065997123718,0.03529338911175728,1
580.JPG,580_mask.png,0,0,0,0.9888160228729248,0.011184005066752434,1
1218.JPG,1218_mask.png,4,0,0,0.9861673712730408,0.013832632452249527,1
391.JPG,391_mask.png,0,0,0,0.9775650501251221,0.022434957325458527,1
582.JPG,582_mask.png,0,0,0,0.9901614189147949,0.009838594123721123,1
84.JPG,84_mask.png,0,0,0,0.9838099479675293,0.01619000732898712,1
1440.JPG,1440_mask.png,7,1,0,0.7951537370681763,0.20484623312950134,0
89.JPG,89_mask.png,1,0,0,0.9859429597854614,0.014057030901312828,1
1454.JPG,1454_mask.png,7,1,0,0.9831724166870117,0.016827549785375595,0
494.JPG,494_mask.png,6,0,0,0.9666463136672974,0.03335363790392876,1
847.JPG,847_mask.png,2,0,0,0.9839223623275757,0.01607760600745678,1
1277.JPG,1277_mask.png,5,0,0,0.9051753282546997,0.09482470154762268,1
267.JPG,267_mask.png,2,0,0,0.9730886220932007,0.026911363005638123,1
1411.JPG,1411_mask.png,0,0,0,0.9920693635940552,0.00793068390339613,1
