image_name,mask_name,original_multiclass_label,true_binary_label,predicted_binary_label,probability_non_malignant,probability_malignant,correct
1269.JPG,1269_mask.png,5,0,0,0.9813295602798462,0.01867046393454075,1
1458.JPG,1458_mask.png,7,1,0,0.9842694997787476,0.015730516985058784,0
700.JPG,700_mask.png,6,0,0,0.9984955787658691,0.0015044666361063719,1
264.JPG,264_mask.png,2,0,0,0.9929680228233337,0.0070319767110049725,1
1017.JPG,1017_mask.png,2,0,0,0.6427042484283447,0.35729578137397766,1
991.JPG,991_mask.png,2,0,0,0.9822989106178284,0.01770107075572014,1
1337.JPG,1337_mask.png,2,0,0,0.9960212111473083,0.0039788465946912766,1
359.JPG,359_mask.png,3,0,0,0.9930782914161682,0.006921652238816023,1
1083.JPG,1083_mask.png,2,0,0,0.9868159890174866,0.013183985836803913,1
1071.JPG,1071_mask.png,2,0,0,0.9973612427711487,0.002638790290802717,1
271.JPG,271_mask.png,5,0,0,0.9733890891075134,0.026610927656292915,1
448.JPG,448_mask.png,0,0,0,0.9805403351783752,0.01945967972278595,1
1270.JPG,1270_mask.png,1,0,0,0.9862187504768372,0.013781261630356312,1
747.JPG,747_mask.png,2,0,0,0.9871507883071899,0.012849230319261551,1
1229.JPG,1229_mask.png,1,0,0,0.9819952249526978,0.018004752695560455,1
553.JPG,553_mask.png,2,0,0,0.983163058757782,0.016836946830153465,1
580.JPG,580_mask.png,0,0,0,0.9613199830055237,0.03867998719215393,1
1218.JPG,1218_mask.png,4,0,0,0.9928842782974243,0.007115719374269247,1
391.JPG,391_mask.png,0,0,0,0.9539029002189636,0.04609706997871399,1
582.JPG,582_mask.png,0,0,0,0.9860231876373291,0.013976862654089928,1
84.JPG,84_mask.png,0,0,0,0.9942703247070312,0.005729618947952986,1
1440.JPG,1440_mask.png,7,1,0,0.5799403786659241,0.42005959153175354,0
89.JPG,89_mask.png,1,0,0,0.9965049028396606,0.0034951097331941128,1
1454.JPG,1454_mask.png,7,1,1,0.47951236367225647,0.5204876065254211,1
494.JPG,494_mask.png,6,0,0,0.9428055882453918,0.057194437831640244,1
847.JPG,847_mask.png,2,0,0,0.9889647960662842,0.011035214178264141,1
1277.JPG,1277_mask.png,5,0,0,0.9712028503417969,0.028797201812267303,1
267.JPG,267_mask.png,2,0,0,0.9486585259437561,0.051341477781534195,1
1411.JPG,1411_mask.png,0,0,0,0.9922606348991394,0.007739349268376827,1
693.JPG,693_mask.png,6,0,0,0.9934321045875549,0.0065679545514285564,1
1329.JPG,1329_mask.png,0,0,0,0.9916039109230042,0.008396061137318611,1
258.JPG,258_mask.png,5,0,0,0.9730353951454163,0.026964575052261353,1
1323.JPG,1323_mask.png,5,0,0,0.9922382235527039,0.007761821616441011,1
1188.JPG,1188_mask.png,0,0,0,0.9927381873130798,0.007261825725436211,1
1013.JPG,1013_mask.png,4,0,0,0.9891813397407532,0.010818601585924625,1
862.JPG,862_mask.png,0,0,0,0.9886460304260254,0.011353977024555206,1
1079.JPG,1079_mask.png,5,0,0,0.98649662733078,0.013503389433026314,1
1352.JPG,1352_mask.png,1,0,0,0.993800699710846,0.006199332885444164,1
778.JPG,778_mask.png,0,0,0,0.9617467522621155,0.038253217935562134,1
948.JPG,948_mask.png,2,0,0,0.9801687002182007,0.0198313407599926,1
245.JPG,245_mask.png,5,0,1,0.16590411961078644,0.83409583568573,0
536.JPG,536_mask.png,2,0,0,0.9803318977355957,0.019668124616146088,1
1208.JPG,1208_mask.png,0,0,0,0.9948917627334595,0.005108210723847151,1
535.JPG,535_mask.png,2,0,0,0.9673618674278259,0.032638177275657654,1
331.JPG,331_mask.png,0,0,0,0.9946485161781311,0.00535153690725565,1
48.JPG,48_mask.png,2,0,0,0.9903835654258728,0.009616442956030369,1
784.JPG,784_mask.png,4,0,0,0.9778131246566772,0.0221868883818388,1
1032.JPG,1032_mask.png,0,0,0,0.9964207410812378,0.003579232608899474,1
592.JPG,592_mask.png,5,0,0,0.9886520504951477,0.011347963474690914,1
361.JPG,361_mask.png,3,0,0,0.9809491038322449,0.01905091106891632,1
388.JPG,388_mask.png,0,0,0,0.9864684343338013,0.013531524688005447,1
27.JPG,27_mask.png,0,0,0,0.9865352511405945,0.01346477959305048,1
1130.JPG,1130_mask.png,4,0,0,0.996334433555603,0.003665541997179389,1
430.JPG,430_mask.png,3,0,1,0.11499921977519989,0.8850007653236389,0
16.JPG,16_mask.png,0,0,0,0.998671293258667,0.001328678335994482,1
70.JPG,70_mask.png,2,0,0,0.9337520599365234,0.06624799221754074,1
741.JPG,741_mask.png,2,0,0,0.9351780414581299,0.06482195109128952,1
690.JPG,690_mask.png,5,0,0,0.9840515851974487,0.015948334708809853,1
1466.JPG,1466_mask.png,7,1,1,0.19349724054336548,0.8065027594566345,1
442.JPG,442_mask.png,5,0,0,0.981724739074707,0.01827533356845379,1
1384.JPG,1384_mask.png,5,0,0,0.9947775602340698,0.00522239925339818,1
548.JPG,548_mask.png,1,0,0,0.9861987829208374,0.013801198452711105,1
1162.JPG,1162_mask.png,0,0,0,0.9704616069793701,0.029538346454501152,1
1023.JPG,1023_mask.png,0,0,0,0.9785254597663879,0.021474564447999,1
1111.JPG,1111_mask.png,5,0,0,0.951852023601532,0.048148028552532196,1
191.JPG,191_mask.png,0,0,0,0.9903653264045715,0.009634754620492458,1
1055.JPG,1055_mask.png,3,0,0,0.9735733866691589,0.026426685974001884,1
88.JPG,88_mask.png,5,0,0,0.9886674284934998,0.011332565918564796,1
296.JPG,296_mask.png,1,0,0,0.9809249043464661,0.0190750639885664,1
842.JPG,842_mask.png,0,0,0,0.9965459704399109,0.0034540537744760513,1
253.JPG,253_mask.png,1,0,0,0.99406898021698,0.005930979270488024,1
385.JPG,385_mask.png,1,0,0,0.9641696810722351,0.03583034127950668,1
973.JPG,973_mask.png,0,0,0,0.9843028783798218,0.015697164461016655,1
452.JPG,452_mask.png,6,0,0,0.9979953765869141,0.002004662761464715,1
1366.JPG,1366_mask.png,0,0,0,0.9936980605125427,0.006301927380263805,1
1085.JPG,1085_mask.png,5,0,0,0.9969950914382935,0.00300489435903728,1
896.JPG,896_mask.png,6,0,0,0.9888126850128174,0.011187401600182056,1
