epoch,train_loss,train_accuracy,train_balanced_accuracy,train_malignant_f1,val_loss,val_accuracy,val_balanced_accuracy,val_malignant_precision,val_sensitivity,val_specificity,val_malignant_f1,learning_rate,epoch_time_seconds
1,0.9725817498264013,0.961,0.4994802494802495,0.0,0.6193809658548967,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,0.0001,54.83411622047424
2,0.6603172874281318,0.959,0.51107889265784,0.046511627906976744,1.018878646600307,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,0.0001,52.16146922111511
3,0.6593229219307846,0.963,0.5131578947368421,0.05128205128205128,0.2026573212898045,0.9658848614072495,0.5311306901615271,0.3333333333333333,0.06666666666666667,0.9955947136563876,0.1111111111111111,0.0001,52.01996397972107
4,1.0010390521233332,0.961,0.5121183936973411,0.04878048780487805,1.0712552654717684,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,2.5e-05,114.97043371200562
5,0.9759872708720488,0.962,0.5,0.0,0.6690833118323865,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,2.5e-05,112.57403898239136
6,0.9045274272846814,0.962,0.5,0.0,0.7404825774013286,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,2.5e-05,112.43645405769348
7,0.786770827595522,0.962,0.5,0.0,0.8783412317085068,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,2.5e-05,112.34047389030457
8,0.7071273291172764,0.962,0.5126381442170916,0.05,0.8537555306193351,0.9658848614072495,0.4988986784140969,0.0,0.0,0.9977973568281938,0.0,1.25e-05,112.44267511367798
9,0.5329721203677383,0.966,0.5526315789473684,0.19047619047619047,0.9263136873219417,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,1.25e-05,112.49110698699951
10,0.2737782695792889,0.978,0.7484407484407485,0.6333333333333333,1.1628787832519654,0.9445628997867804,0.4878854625550661,0.0,0.0,0.9757709251101322,0.0,1.25e-05,112.51003813743591
11,0.13019060091084164,0.986,0.8410657621183937,0.7878787878787878,1.674249879504211,0.9168443496801706,0.473568281938326,0.0,0.0,0.947136563876652,0.0,1.25e-05,112.39981698989868
12,0.0829160837723334,0.992,0.9326512747565379,0.8918918918918919,1.772855480345773,0.8933901918976546,0.5259177679882526,0.05128205128205128,0.13333333333333333,0.9185022026431718,0.07407407407407407,1.25e-05,112.4276430606842
13,0.017315208206465663,0.999,0.986842105263158,0.9866666666666667,2.650295951886385,0.9360341151385928,0.515712187958884,0.058823529411764705,0.06666666666666667,0.9647577092511013,0.0625,1.25e-05,113.31719398498535
14,0.04094117360312391,0.997,0.9731644600065652,0.96,1.397961279423642,0.6204690831556503,0.5138766519823789,0.03428571428571429,0.4,0.6277533039647577,0.06315789473684211,1.25e-05,113.61975574493408
15,0.0003722469404703858,0.999,0.9994802494802495,0.987012987012987,2.15457949125575,0.8336886993603412,0.4950807635829662,0.029850746268656716,0.13333333333333333,0.8568281938325991,0.04878048780487805,1.25e-05,113.42106294631958
