image_name,true_label,true_class,predicted_label,predicted_class,confidence,correct,probability_class_0,probability_class_1,probability_class_2,probability_class_3,probability_class_4,probability_class_5,probability_class_6,probability_class_7
1269.JPG,5,Class 5,5,Class 5,0.8389782309532166,1,0.007899847812950611,0.008451630361378193,0.011819095350801945,0.04544990509748459,0.0355290062725544,0.8389782309532166,0.022084642201662064,0.02978762425482273
1458.JPG,7,Class 7,7,Class 7,0.4649619460105896,1,0.007587121333926916,0.0737556666135788,0.021506905555725098,0.21433903276920319,0.06037386506795883,0.13832572102546692,0.0191497765481472,0.4649619460105896
700.JPG,6,Class 6,6,Class 6,0.6402143239974976,1,0.005810970440506935,0.25496259331703186,0.006607593037188053,0.020625848323106766,0.018285077065229416,0.010823340155184269,0.6402143239974976,0.042670272290706635
264.JPG,2,Class 2,2,Class 2,0.8178202509880066,1,0.01029695849865675,0.012402215972542763,0.8178202509880066,0.0338081456720829,0.03627912700176239,0.010095554403960705,0.027129506692290306,0.05216819420456886
1017.JPG,2,Class 2,7,Class 7,0.7070876359939575,0,0.10224167257547379,0.009235912933945656,0.016145410016179085,0.08017385751008987,0.03310232609510422,0.015644144266843796,0.03636898845434189,0.7070876359939575
991.JPG,2,Class 2,0,Class 0,0.7867122888565063,0,0.7867122888565063,0.010644074529409409,0.017167577520012856,0.0406620055437088,0.04522101953625679,0.008421769365668297,0.02017141506075859,0.07099971175193787
1337.JPG,2,Class 2,1,Class 1,0.6909472346305847,0,0.003991669975221157,0.6909472346305847,0.01861664280295372,0.02076602540910244,0.02297774702310562,0.01574597880244255,0.15971453487873077,0.0672401636838913
359.JPG,3,Class 3,3,Class 3,0.8449689745903015,1,0.0020037165377289057,0.013874310068786144,0.0614110603928566,0.8449689745903015,0.0071471394039690495,0.00551807414740324,0.00587542774155736,0.059201259166002274
1083.JPG,2,Class 2,2,Class 2,0.693623960018158,1,0.0513787679374218,0.017005031928420067,0.693623960018158,0.13243979215621948,0.02979368530213833,0.015397043898701668,0.013555011712014675,0.04680671542882919
1071.JPG,2,Class 2,0,Class 0,0.5287657380104065,0,0.5287657380104065,0.02722221240401268,0.185230553150177,0.06384998559951782,0.05899004638195038,0.027776937931776047,0.04055178165435791,0.06761277467012405
