group,experiment,module,reason
multiclass,Mask-aware MTA-Swin,integration_ds2net_maskaware_mtaswin,config import failed: No module named 'integration_ds2net_maskaware_mtaswin'
multiclass,Mask-aware + augmentation,integration_ds2net_maskaware_mtaswin_aug,config import failed: No module named 'integration_ds2net_maskaware_mtaswin_aug'
multiclass,Mask-aware + augmentation + balanced sampling,integration_ds2net_maskaware_mtaswin_aug_balanced,config import failed: No module named 'integration_ds2net_maskaware_mtaswin_aug_balanced'
multiclass,Mask-aware + augmentation + focal loss,integration_ds2net_maskaware_mtaswin_aug_focal,config import failed: No module named 'integration_ds2net_maskaware_mtaswin_aug_focal'
binary,Binary ROI + mask + augmentation + focal loss,integration_ds2net_maskaware_mtaswin_aug_focal_binary,config import failed: No module named 'integration_ds2net_maskaware_mtaswin_aug_focal_binary'
binary,Binary + malignant-only augmentation,integration_ds2net_maskaware_mtaswin_aug_focal_binary_malignant_aug,config import failed: No module named 'integration_ds2net_maskaware_mtaswin_aug_focal_binary_malignant_aug'
context,"Context 384, batch 1, ResNet18",integration_ds2net_maskaware_mtaswin_binary_context384,config import failed: No module named 'integration_ds2net_maskaware_mtaswin_binary_context384'
context,"Context 224, batch 1, ResNet18",integration_ds2net_maskaware_mtaswin_binary_context224,config import failed: No module named 'integration_ds2net_maskaware_mtaswin_binary_context224'
context,"Context 224, batch 2, accumulation 4",integration_ds2net_maskaware_mtaswin_binary_context224_batch2,config import failed: No module named 'integration_ds2net_maskaware_mtaswin_binary_context224_batch2'
context,"Context 224, batch 2, accumulation 2",integration_ds2net_maskaware_mtaswin_binary_context224_batch2_accum2,config import failed: No module named 'integration_ds2net_maskaware_mtaswin_binary_context224_batch2_accum2'
context,"Context 224, lightweight CNN + BatchNorm",integration_ds2net_maskaware_mtaswin_binary_context224_lightcnn,config import failed: No module named 'integration_ds2net_maskaware_mtaswin_binary_context224_lightcnn'
context,"Context 224, lightweight CNN + GroupNorm",integration_ds2net_maskaware_mtaswin_binary_context224_lightcnn_groupnorm,config import failed: No module named 'integration_ds2net_maskaware_mtaswin_binary_context224_lightcnn_groupnorm'
ablation,A1: Context model without explicit mask,ablation_ds2net_mtaswin_binary_context224_no_mask,config import failed: No module named 'ablation_ds2net_mtaswin_binary_context224_no_mask'
ablation,Reference: ROI + mask + augmentation + focal,ablation_ds2net_mtaswin_binary_roi_mask_no_context,config import failed: No module named 'ablation_ds2net_mtaswin_binary_roi_mask_no_context'
ablation,A3: Without augmentation,ablation_ds2net_mtaswin_binary_roi_mask_no_augmentation,config import failed: No module named 'ablation_ds2net_mtaswin_binary_roi_mask_no_augmentation'
ablation,A4: Cross-entropy instead of focal loss,ablation_ds2net_mtaswin_binary_roi_mask_cross_entropy,config import failed: No module named 'ablation_ds2net_mtaswin_binary_roi_mask_cross_entropy'
ablation,A5: RGB ROI only,ablation_ds2net_mtaswin_binary_roi_only,config import failed: No module named 'ablation_ds2net_mtaswin_binary_roi_only'
ablation,A6: Bilinear mask resizing,ablation_ds2net_mtaswin_binary_roi_mask_bilinear_resize,config import failed: No module named 'ablation_ds2net_mtaswin_binary_roi_mask_bilinear_resize'
ablation,A7: Focal loss without class alpha,ablation_ds2net_mtaswin_binary_roi_mask_focal_no_alpha,config import failed: No module named 'ablation_ds2net_mtaswin_binary_roi_mask_focal_no_alpha'
