experiment,metric,number_of_seeds,mean,sample_standard_deviation,mean_plus_minus_std
reference,accuracy,3,0.9722814498933902,0.007687742591607678,0.9723 ± 0.0077
reference,balanced_accuracy,3,0.738570729319628,0.03646883109161499,0.7386 ± 0.0365
reference,malignant_precision,3,0.6127946127946128,0.14891141001680797,0.6128 ± 0.1489
reference,sensitivity,3,0.4888888888888889,0.07698003589195009,0.4889 ± 0.0770
reference,specificity,3,0.9882525697503671,0.008901876397196813,0.9883 ± 0.0089
reference,malignant_f1,3,0.5334110334110335,0.07139427994616461,0.5334 ± 0.0714
reference,macro_f1,3,0.7595590924535032,0.03730111918926446,0.7596 ± 0.0373
reference,negative_predictive_value,3,0.983209958504128,0.0024062978719939076,0.9832 ± 0.0024
reference,roc_auc,3,0.8688203622124328,0.007709367642407419,0.8688 ± 0.0077
reference,pr_auc,3,0.48551998228506527,0.05714859294233365,0.4855 ± 0.0571
no_augmentation,accuracy,3,0.9729921819474058,0.00615512014061431,0.9730 ± 0.0062
no_augmentation,balanced_accuracy,3,0.6637298091042585,0.029521536321421092,0.6637 ± 0.0295
no_augmentation,malignant_precision,3,0.764957264957265,0.2756658704764126,0.7650 ± 0.2757
no_augmentation,sensitivity,3,0.3333333333333333,0.06666666666666668,0.3333 ± 0.0667
no_augmentation,specificity,3,0.9941262848751835,0.008339072460793354,0.9941 ± 0.0083
no_augmentation,malignant_f1,3,0.441938178780284,0.029900635201626197,0.4419 ± 0.0299
no_augmentation,macro_f1,3,0.7140444914514149,0.015641552967395063,0.7140 ± 0.0156
no_augmentation,negative_predictive_value,3,0.9783363239260044,0.00196035439219516,0.9783 ± 0.0020
no_augmentation,roc_auc,3,0.8395496818404308,0.008812204123714435,0.8395 ± 0.0088
no_augmentation,pr_auc,3,0.4219202196444624,0.018743784196813437,0.4219 ± 0.0187
roi_only,accuracy,3,0.9722814498933902,0.005641260791182471,0.9723 ± 0.0056
roi_only,balanced_accuracy,3,0.738570729319628,0.020634603113869516,0.7386 ± 0.0206
roi_only,malignant_precision,3,0.5898989898989899,0.10779249755114423,0.5899 ± 0.1078
roi_only,sensitivity,3,0.4888888888888889,0.03849001794597504,0.4889 ± 0.0385
roi_only,specificity,3,0.9882525697503671,0.005086786512683967,0.9883 ± 0.0051
roi_only,malignant_f1,3,0.5325735992402659,0.06316910301943897,0.5326 ± 0.0632
roi_only,macro_f1,3,0.7591445190600549,0.0330081556333443,0.7591 ± 0.0330
roi_only,negative_predictive_value,3,0.9831981063550583,0.0012880079475751315,0.9832 ± 0.0013
roi_only,roc_auc,3,0.8687224669603524,0.041265984067838594,0.8687 ± 0.0413
roi_only,pr_auc,3,0.47744028351766066,0.061113143348106726,0.4774 ± 0.0611
