image_name,mask_name,original_multiclass_label,true_binary_label,predicted_binary_label,probability_non_malignant,probability_malignant,correct
1269.JPG,1269_mask.png,5,0,0,0.9796001315116882,0.020399799570441246,1
1458.JPG,1458_mask.png,7,1,0,0.9272770285606384,0.07272296398878098,0
700.JPG,700_mask.png,6,0,0,0.9955462217330933,0.004453759174793959,1
264.JPG,264_mask.png,2,0,0,0.9920468330383301,0.007953209802508354,1
1017.JPG,1017_mask.png,2,0,0,0.8806289434432983,0.11937108635902405,1
991.JPG,991_mask.png,2,0,0,0.9795737266540527,0.020426278933882713,1
1337.JPG,1337_mask.png,2,0,0,0.9958505630493164,0.0041494425386190414,1
359.JPG,359_mask.png,3,0,0,0.9805866479873657,0.01941334269940853,1
1083.JPG,1083_mask.png,2,0,0,0.988364577293396,0.011635362170636654,1
1071.JPG,1071_mask.png,2,0,0,0.9778677225112915,0.02213226817548275,1
271.JPG,271_mask.png,5,0,0,0.9719377160072327,0.028062235563993454,1
448.JPG,448_mask.png,0,0,0,0.9263957738876343,0.07360421866178513,1
1270.JPG,1270_mask.png,1,0,0,0.9929492473602295,0.007050733081996441,1
747.JPG,747_mask.png,2,0,0,0.9896091222763062,0.010390864685177803,1
1229.JPG,1229_mask.png,1,0,0,0.9863783121109009,0.01362162921577692,1
553.JPG,553_mask.png,2,0,0,0.9856892824172974,0.01431073434650898,1
580.JPG,580_mask.png,0,0,0,0.9803858995437622,0.01961411163210869,1
1218.JPG,1218_mask.png,4,0,0,0.9883195161819458,0.01168053038418293,1
391.JPG,391_mask.png,0,0,0,0.9691588878631592,0.030841100960969925,1
582.JPG,582_mask.png,0,0,0,0.9820051193237305,0.017994841560721397,1
84.JPG,84_mask.png,0,0,0,0.9864863157272339,0.013513637706637383,1
1440.JPG,1440_mask.png,7,1,1,0.2367129921913147,0.7632870078086853,1
89.JPG,89_mask.png,1,0,0,0.9930904507637024,0.006909627467393875,1
1454.JPG,1454_mask.png,7,1,0,0.9671722650527954,0.032827701419591904,0
494.JPG,494_mask.png,6,0,0,0.9684333205223083,0.031566720455884933,1
847.JPG,847_mask.png,2,0,0,0.9922835230827332,0.007716459687799215,1
1277.JPG,1277_mask.png,5,0,0,0.9759681224822998,0.024031853303313255,1
267.JPG,267_mask.png,2,0,0,0.9561336636543274,0.0438663624227047,1
1411.JPG,1411_mask.png,0,0,0,0.9947409629821777,0.005259036086499691,1
693.JPG,693_mask.png,6,0,0,0.9627066850662231,0.03729340061545372,1
1329.JPG,1329_mask.png,0,0,0,0.9836668968200684,0.016333071514964104,1
258.JPG,258_mask.png,5,0,0,0.9584141373634338,0.041585877537727356,1
1323.JPG,1323_mask.png,5,0,0,0.9746560454368591,0.02534395270049572,1
1188.JPG,1188_mask.png,0,0,0,0.9912300109863281,0.008770005777478218,1
1013.JPG,1013_mask.png,4,0,0,0.9848226308822632,0.015177362598478794,1
862.JPG,862_mask.png,0,0,0,0.9479008913040161,0.052099112421274185,1
1079.JPG,1079_mask.png,5,0,0,0.8741493225097656,0.1258506327867508,1
1352.JPG,1352_mask.png,1,0,0,0.9856966733932495,0.014303337782621384,1
778.JPG,778_mask.png,0,0,0,0.7473706007003784,0.2526293992996216,1
948.JPG,948_mask.png,2,0,0,0.9727894067764282,0.027210595086216927,1
245.JPG,245_mask.png,5,0,1,0.35769858956336975,0.6423013806343079,0
536.JPG,536_mask.png,2,0,0,0.9802606701850891,0.019739316776394844,1
1208.JPG,1208_mask.png,0,0,0,0.9947167038917542,0.00528325280174613,1
535.JPG,535_mask.png,2,0,0,0.9823180437088013,0.017682010307908058,1
331.JPG,331_mask.png,0,0,0,0.9936886429786682,0.006311430595815182,1
48.JPG,48_mask.png,2,0,0,0.9949612617492676,0.005038728471845388,1
784.JPG,784_mask.png,4,0,0,0.9655214548110962,0.03447854146361351,1
1032.JPG,1032_mask.png,0,0,0,0.9944890737533569,0.005510857328772545,1
592.JPG,592_mask.png,5,0,0,0.8653133511543274,0.1346866637468338,1
361.JPG,361_mask.png,3,0,0,0.9727298021316528,0.0272701196372509,1
388.JPG,388_mask.png,0,0,0,0.9387578964233398,0.06124211847782135,1
27.JPG,27_mask.png,0,0,0,0.9942776560783386,0.005722318775951862,1
1130.JPG,1130_mask.png,4,0,0,0.9806258678436279,0.019374191761016846,1
430.JPG,430_mask.png,3,0,1,0.014573810622096062,0.9854261875152588,0
16.JPG,16_mask.png,0,0,0,0.9497838616371155,0.050216078758239746,1
70.JPG,70_mask.png,2,0,0,0.9809436202049255,0.019056428223848343,1
741.JPG,741_mask.png,2,0,0,0.9824149012565613,0.017585143446922302,1
690.JPG,690_mask.png,5,0,0,0.9748240113258362,0.025175997987389565,1
1466.JPG,1466_mask.png,7,1,1,0.0007347023347392678,0.9992652535438538,1
442.JPG,442_mask.png,5,0,0,0.9896095991134644,0.010390369221568108,1
1384.JPG,1384_mask.png,5,0,0,0.9672634601593018,0.03273657336831093,1
548.JPG,548_mask.png,1,0,0,0.9886310696601868,0.01136887725442648,1
1162.JPG,1162_mask.png,0,0,0,0.951066255569458,0.04893368110060692,1
